lsoa21cd,LSOAname,CommunityServiceTotal,DefenceTotal,IndustryandCommerceTotal,MineralsandlandfillTotal,ResidentialTotal,TransportandutilitiesTotal,UnknowndevelopeduseTotal,DevelopeduseTotal,AgricultureTotal,ForestopenlandandwaterTota,OutdoorrecreationTotal,ResidentialgardensTotal,UndevelopedlandTotal,NondevelopedTotal,VacantTotal,Total
E01033665,Manchester 056C,2.69006549038759,,9.783274697556021,.0059244237499777,1.34048626546541,14.6064631585229,19.3403873417057,47.7666013773875,7.12847980467776,12.137856281575,1.14759482128017,2.23138902785913,,22.6453199353921,,70.4119213127796
E01033667,Manchester 054E,.0082088620999362,,2.47868885293707,,2.28598966989356,5.77615745992019,1.97575181665335,12.5247966615041,.184352019897874,,.0158100507499417,.314691763683905,.0033050000000047,.518158834331725,.242696429900039,13.2856519257359
E01033674,Manchester 058C,2.48473814959914,,12.5064813975802,,2.35117459444613,21.942319136992,19.9047041954646,59.1894174740821,6.34805615568278,1.34381330053915,.532450293149051,4.06727408104802,.013897125000041,12.305490955419,1.06024156950042,72.5551499990016
E01033677,Manchester 060A,.772691103082377,,5.80414213719166,,1.76890010837254,9.38051724790501,7.2968454068152,25.0230960033668,.279136267194195,.46677797782208,,.110851694499981,.0236310560998883,.880396995616144,,25.9034929989829
E01033681,Manchester 060B,1.73384329619276,,2.22292858199295,,2.78881812590791,10.8305791891346,7.45170936595423,25.0278785591824,1.65381497390717,3.44241068447131,,.35312563840053,.193172220000159,5.64252351677917,3.64101205239098,34.3114141283526
E01033682,Manchester 060C,.368407449304738,,1.39190694865039,,2.00711397238287,5.78473390055499,4.06221675070937,13.6143790216024,1.46353450998033,.504993520171765,.47433462499974,.6053879154087251,,3.04825057056056,.293174014928724,16.9558036070916
E01033684,Manchester 062D,,,.0892807208848535,,1.82048244212724,1.2493371832126,1.12425561822427,4.28335596444897,.0450151317321632,.0299655265567766,,.474418153863351,,.549398812152291,,4.83275477660126
E01033980,Salford 017G,.414806270849224,,.0481348449999409,,2.362901210522,4.13993369015021,1.74424830496464,8.710024321486021,7.60202130323625,9.188168876212419,26.1588658897112,3.01193587036575,,45.9609919395256,10.6872165496443,65.35823281065601
E01033981,Salford 017H,7.48935135013396,,2.24409210570578,,3.8329580159995,10.5142631936903,6.96606281669764,31.0467274822272,3.35420537223865,1.31168666341765,.238313712100828,4.40381140905726,,9.30801715681439,,40.3547446390415
E01033987,Salford 033A,,,1.911836575999,,1.32334568460178,5.04228329753817,4.52599789306167,12.8034634512006,1.23970682765268,1.27765681153887,.0084194764500426,2.01704864548767,,4.54283176112926,.918440052161586,18.2647352644915
E01033988,Salford 033B,.0918266568001564,,.789813718676928,,.804321285173728,3.5599825661875,1.46700060686582,6.71294483370413,.283487567978078,,,.276026385446862,,.55951395342494,.766031843137966,8.038490630267029
E01033989,Salford 033C,2.07322121710326,,.336470040912813,,2.15507754327474,5.43624565301144,1.78831008964829,11.7893245439505,2.23993117464666,,.312901513100624,1.62037719207991,,4.17320987982719,,15.9625344237777
E01033990,Salford 033D,,,.6215158363223821,,1.13200407217192,3.57411720580003,1.89959783797011,7.22723495226444,.355311671840071,.214654308056226,,,.0131913175000576,.583157297396355,.0660114275000291,7.87640367716083
E01033991,Salford 034A,11.7970412487845,,6.13678753699416,,2.74487051834899,23.7647374437237,12.1113985506052,56.5548352984565,4.75995151669997,9.50666703298109,5.26095324518865,5.39266479330156,,24.9202365881713,.281265871501159,81.75633775812889
E01033992,Salford 034B,.177638615356959,,2.48242484360595,,2.50018167710046,7.69061289268498,3.96468113308646,16.8155391618348,.9236287093475321,.244339602107499,.0603805000000284,.702043882349346,,1.93039269380441,.9623591729512599,19.7082910285905
E01034115,Manchester 018F,24.6879609725799,,.852385447250279,,2.58143532773018,12.2535503368506,3.43563081766144,43.8109629020723,3.38840494309054,.150116002299681,,4.09403267267844,.0571598750001984,7.68971349306886,.341859536189883,51.8425359313311
E01034116,Manchester 018G,.0699180998415463,,,,1.7147178950838,2.57019455792945,.175688753436039,4.53051930629084,.0330120809468761,,,2.33963514401934,,2.37264722496622,,6.90316653125705
E01034117,Manchester 019E,30.953180789093,,.111729216250051,,1.31278051976551,7.01169896040361,1.7422008984881,41.1315903840003,.671940935292603,.165746851600462,8.598529592598011,1.81114066721217,.0058018297289016,11.2531598764321,,52.3847502604324
E01034118,Manchester 019F,5.11461220095594,,2.07290246868331,,1.73885354751943,5.98221596995905,7.21591818220854,22.1245023693263,.624188075661392,1.21851323291873,.114677476030591,2.15159791932836,.785373368720829,4.8943500726599,,27.0188524419862
E01034119,Manchester 022H,15.108412797263,,.92671458875055,,4.52770724572545,9.501828221482731,6.07223988677795,36.1369027399997,1.95824989159551,.0290259550500428,1.46482383174161,6.05809413092535,.0160947888500028,9.52628859816252,,45.6631913381622
E01034129,Manchester 055F,.0537858100000536,,1.20650030449958,,2.15229901841783,3.01116301316113,.658275323079178,7.08202346915777,.0061239002001006,,,.085344406739391,,.0914683069394916,.143809826899837,7.3173016029971
E01034130,Manchester 055G,.192775448621156,,1.11270331608577,,1.56136912485537,4.31206872269729,2.84671478850896,10.0256314007685,.134611004853356,.493218708761616,,.138989912589514,.0011070414310903,.767926667635576,,10.7935580684041
E01034131,Manchester 060E,.105305085969706,,.63257994240449,,1.37161437738858,4.29500879371927,1.69294645817451,8.09745465765655,.369796088891337,.570965069984096,,.0817935146910851,,1.02255467356652,.470252725554386,9.590262056777449
E01034132,Manchester 060F,,,.655695035146674,,1.61776821793588,3.33715534918456,2.57943525103463,8.190053853301739,.574230758220411,.187930629158253,,.141808785484396,,.90397017286306,1.12299243387266,10.2170164600375
E01034133,Manchester 061C,.209408960348676,,.0416551716499438,,3.90232226436137,6.60253222995212,2.60171501103619,13.3576336373483,3.32012121490264,1.11873126789974,.138056094339691,7.85844566756134,,12.4353542447034,.940211619480595,26.7331995015323
E01034134,Manchester 061D,.0303746511007723,,.474496452960837,,1.07725040147744,1.84545854498539,1.52700853573345,4.95458858625789,.446179262303739,.36488650258001,,.461514768228676,.0488598555998877,1.32144038871231,,6.2760289749702
E01034135,Manchester 062A,.127826855406718,,1.89152232251446,,1.46287647871952,3.41358922231446,4.28104103456547,11.1768559135206,1.55650664395445,.88552581859288,,1.26723608331699,.0451835749999649,3.75445212086428,.0430921365496994,14.9744001709346
E01034136,Manchester 062C,,,.0479099203503457,,1.36084314861169,1.61717695610208,1.55475339559864,4.58068342066275,1.69741458942925,.481236310301857,,.109202883262005,,2.28785378299311,,6.86853720365586
